Headline,Source,Date,Word Count,Text,Company,Industry,IPO Period,Day of Week,Source Tier,Sentiment,List Price,Market Price,Difference
Chinese e-commerce giant Alibaba gears up for U.S. IPO,Charleston Gazette,3/17/2014,522,HONG KONG - Chinese e-commerce giant Alibaba Group said Sunday that it will go public on a U.S. stock exchange in a move analysts say might raise up to $15 billion in the year's biggest initial public offering.,Alibaba,Technology,1,2,4,,,,
Alibaba's IPO will be in NYC,China Daily-US Edition,3/17/2014,1104,Alibaba Group Holding Ltd's announcement that it will end months of market speculation by choosing New York over Hong Kong for what would be the largest US initial public offering ever by a Chinese company has sent shockwaves across the US ...,Alibaba,Technology,1,2,4,,,,
China's Alibaba picks U.S. for IPO,CNN Wire,3/17/2014,394,Update 3/17: Adds correction about Facebook and profits. NEW YORK (CNNMoney) -- Chinese internet giant Alibaba will make its market debut in the United States.,Alibaba,Technology,1,2,3,,,,
"Alibaba plans IPO that could break Facebook's record, Yahoo shares jump Alibaba plans IPO that could break Facebook's record, Yahoo shares jump",Contra Costa Times,3/17/2014,741,"Alibaba plans to hold its initial public offering -- which could be the largest ever for a technology company -- in the United States, and Yahoo is already reaping rewards from its early investment in the Chinese powerhouse, with the ...",Alibaba,Technology,1,2,4,,,,
New York flexes IPO muscle with Alibaba IPO deal,Gannett News Service,3/17/2014,569,"Matt Krantz, USA TODAY Chinese Internet company Alibaba is launching its IPO in New York, underscoring the USA's standing as the global hub of the new stock boom.",Alibaba,Technology,1,2,3,,,,
Yahoo stock surges on Alibaba IPO future,Longview News-Journal,3/17/2014,146,"SAN FRANCISCO É?? Yahoo is benefiting once again from its stake in China's hottest Internet company, Alibaba Group. Investors latched on to Yahoo on Monday in anticipation of a huge windfall from Alibaba's initial public offering of stock ...",Alibaba,Technology,1,2,4,,,,
Yahoo up as Alibaba kicks off IPO process; Chinese Internet giant chooses New York; says IPO will É??enhance transparency',MarketWatch,3/17/2014,508,"SAN FRANCISCO (MarketWatch) É?? Shares of Yahoo Inc. climbed Monday after Alibaba, the Chinese tech powerhouse in which the U.S.-based Web portal owns a huge stake, said it has begun the process for a much-awaited initial public offering.",Alibaba,Technology,1,2,1,,,,
U.S. stocks rise; S&P 500 positive for the year; Yahoo rallies as Alibaba begins IPO process,MarketWatch,3/17/2014,905,NEW YORK (MarketWatch) É?? U.S. stocks finished Monday with strong gains as investors shrugged off the narrow scope of EU and U.S. sanctions following the vote in Crimea in favor of leaving Ukraine.,Alibaba,Technology,1,2,1,,,,
Yahoo Forecast To Gain $15B From Alibaba IPO,MediaPost.com,3/17/2014,399,"Yahoo shares were up more than 3% in early trading Monday after China-based e-commerce giant Alibaba confirmed plans for an IPO in the U.S. As one of the company's largest shareholders, Yahoo has a 24% stake in Alibaba, sometimes described ...",Alibaba,Technology,1,2,4,,,,
Alibaba closer to New York IPO commitment; working with banks (Video),New York Business Journal Online,3/17/2014,251,Chinese e-commerce behemoth Alibaba took another step toward a New York initial public offering when it posted a statement saying it has begun that process in the United States .,Alibaba,Technology,1,2,4,,,,
Chinese Tech Giant Alibaba Plans To Launch IPO In U.S.,NPR,3/17/2014,537,"RENEE MONTAGNE: And the Chinese Internet giant Alibaba says it plans to launch an initial public offering in the United States. Alibaba is known as the Chinese Google, and the IPO might be one of the biggest offerings in the history of the ...",Alibaba,Technology,1,2,1,,,,
ALIBABA PRIMES FOR IPO IN U.S.,Pittsburgh Post-Gazette,3/17/2014,840,HONG KONG -- Chinese e-commerce giant Alibaba says it's gearing up to go public on a U.S. stock exchange in what is likely to be the world's biggest IPO this year.,Alibaba,Technology,1,2,4,,,,
"Alibaba plans U.S. IPO, talking with banks",San Francisco Business Times Online,3/17/2014,147,"The Chinese e-commerce giant Alibaba Group Holding Ltd. has chosen the U.S. for its long-awaited initial public offering, in what is set to be the most high-profile IPO since Facebook Inc.'s nearly two years ago.",Alibaba,Technology,1,2,2,,,,
Chinese e-commerce giant Alibaba plans huge U.S. IPO,Silicon Valley/San Jose Business Journal,3/17/2014,456,"Chinese online commerce company Alibaba Group said yesterday that it will launch its initial public offering in the United States. Analysts say IPO could fetch the company a valuation of more than $130 billion,  The New York Times reported.",Alibaba,Technology,1,2,2,,,,
alibaba plans ipo on u.s. exchange,The Courier-Journal,3/17/2014,318,,Alibaba,Technology,1,2,4,,,,
alibaba plans ipo on u.s. exchange alibaba plans ipo on u.s. exchange,The Courier-Journal,3/17/2014,318,"Alibaba Group said Sunday that it will begin the process of an initial public offering on a U.S. stock exchange soon. Analysts say it could raise $15 billion. Alibaba Group doesn't report its finances. But Yahoo, which owns a 24% stake in ...",Alibaba,Technology,1,2,4,,,,
"Alibaba plans IPO that could break Facebook's record, Yahoo shares jump",The Oakland Tribune,3/17/2014,738,,Alibaba,Technology,1,2,4,,,,
"Alibaba Plans Equal Sway for Banks --- Chinese Internet IPO May Give Same Billing, Fees To the Top Firms",The Wall Street Journal,3/17/2014,881,Alibaba Group Holding Ltd. isn't planning to give any of the banks that are leading its initial public offering a substantially bigger role than the others.,Alibaba,Technology,1,2,1,,,,
ChannelAdvisor partner Alibaba filing for IPO,Triangle Business Journal Online,3/17/2014,185,"ChannelAdvisor's latest partner, Alibaba Group, could go public in the United States, having recently begun the IPO process in an effort to raise $15 billion in public funds.",Alibaba,Technology,1,2,4,,,,
