Headline,Source,Date,Word Count,Text,Company,Industry,IPO Period,Day of Week,Source Tier,Sentiment,List Price,Market Price,Difference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dude, Where's My Facebook IPO Filing?",All Things Digital,2/1/2012,589,"(This story has been posted on All Things Digital, a website owned by Dow Jones.) 
 
   By Kara Swisher 
   Of ALL THINGS DIGITAL Okay, okay, we get it: Morgan Stanley got the coveted left-hand lead position on Facebook's blockbuster ...",Facebook,Technology,1,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Meet The Less-Known Face Of The Facebook IPO, CFO David Ebersman",All Things Digital,2/1/2012,852,"(This story has been posted on All Things Digital, a website owned by Dow Jones.) 
 
   By Kara Swisher 
   Of ALL THINGS DIGITAL Ever heard of David Ebersman?",Facebook,Technology,1,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facebook IPO Filing May Be Later Wed At Earliest,All Things Digital,2/1/2012,257,"(This story has been posted on All Things Digital, a website owned by Dow Jones.) 
 
    By Kara Swisher 
    Of ALL THINGS DIGITAL Like political junkies waiting up for election returns, Silicon Valley folks, including tech journalists, ...",Facebook,Technology,1,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Will Facebook deliver an IPO surprise?,Asbury Park Press,2/1/2012,1518,,Facebook,Technology,1,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Will Facebook offer IPO surprise?,Asbury Park Press,2/1/2012,538,"STOCK GOING PUBLIC NEW YORK É?? Facebook founder Mark Zuckerberg turns up at business conventions in a hoodie. ""Cocky"" is the word used to describe him most often, after ""billionaire."" He was Time's person of the year at 26.",Facebook,Technology,1,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
My Favorite Statistics and Sentences From Facebook's Big IPO,Atlantic.com,2/1/2012,344,"A scrapbook of trivia about the soon-to-be-public company Mark Zuckerberg's base salary is $500,000. ""Effective January 1, 2013, Mr. Zuckerberg's annual base salary will be reduced to $1.""",Facebook,Technology,1,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facebook IPO Shows (Once Again) Tech Companies' Crazy Value Per Worker,Atlantic.com,2/1/2012,501,"Today, after much anticipation, Facebook filed the paperwork for its initial public stock offering, expected to result in a market valuation somewhere between $75 billion and $100 billion. And while those numbers raise eyebrows for being ...",Facebook,Technology,1,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T. Rowe Price among principal stockholders in Facebook IPO,Baltimore Business Journal Online,2/1/2012,365,"Baltimore money manager T. Rowe Price Group Inc. is among the principal stockholders in Facebook, according to the social network's  $5 billion initial public offering filed Wednesday.",Facebook,Technology,1,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facebook Files IPO,Benzinga.com,2/1/2012,5,Facebook Files IPO,Facebook,Technology,1,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facebook Files $5B IPO -Filing,Benzinga.com,2/1/2012,230,"Facebook, Inc. is offering shares of its Class A common stock and the selling stockholders are offering shares of Class A common stock. We will not receive any proceeds from the sale of shares by the selling stockholders. This is our ...",Facebook,Technology,1,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Facebook $5B IPO Filing Does Not Include Exchange, Pricing, or Number of Shares",Benzinga.com,2/1/2012,19,View filing here.,Facebook,Technology,1,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piper Jaffray Says Facebook IPO Could be Positive Catalyst for SINA Shares,Benzinga.com,2/1/2012,131,"In a research report published today, Piper Jaffray concluded that Facebook could provide SINA Corporation (NASDAQ: SINA) with a potential floor to shares in the low $60 range.",Facebook,Technology,1,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facebook filing for $5B IPO today,Birmingham Business Journal Online,2/1/2012,119,"Facebook is expected to file initial paperwork with regulators today for a $5 billion initial public offering. According to CNBC, the social networking site has hired five underwriters É?? Morgan Stanley (NYSE: MS), Goldman Sachs (NYSE: GS), ...",Facebook,Technology,1,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Big risk for Facebook after IPO: Mark Zuckerberg may do stuff,Boston Business Journal Online,2/1/2012,234,"In the middle of Facebook's 336-page, eyes-glaze-over filing of intentions to go public, there's some comic relief in the section listing the risk factors involved with investing in Facebook.",Facebook,Technology,1,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facebook launches $5 billion IPO,Business First of Louisville,2/1/2012,520,"Facebook Inc. filed its much anticipated registration statement with the U.S. Securities and Exchange Commission late Wednesday, announcing plans to raise more than $5 billion through an initial public stock offering.",Facebook,Technology,1,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facebook Files for $5 Billion IPO,Business Review USA,2/1/2012,234,"U.S., Feb. 1 -- The moment the tech world has been waiting for has arrived-Facebook has officially filed registration documents with the Securities and Exchange Commission for an initial amount of $5 billion.",Facebook,Technology,1,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Facebook IPO and Beyond, MIT Sloan Expert Sees Rich New Revenue Source",Business Wire,2/1/2012,620,"Research finds ""huge untapped potential"" in social advertising 
CAMBRIDGE, Mass.--(BUSINESS WIRE)--February 01, 2012-- With Facebook's initial public offering this week, the social networking giant can look ahead to a ...",Facebook,Technology,1,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Media Say Children's Suit by Korein Tillery Against Facebook for Using Names in Advertising Could Impact Impending IPO,Business Wire,2/1/2012,589,"ST. LOUIS--(BUSINESS WIRE)--February 01, 2012--  Just days before Facebook plans to launch its Initial Public Offering (IPO) of stock to investors, the potential financial liability facing the company in a federal suit filed Korein Tillery ...",Facebook,Technology,1,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facebook with a twist? Many investors expect an IPO surprise today,Charleston Gazette,2/1/2012,1512,"NEW YORK - Facebook founder Mark Zuckerberg turns up at business conventions in a hoodie. ""Cocky"" is the word used to describe him most often, after ""billionaire."" He was Time's person of the year at 26.",Facebook,Technology,1,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Facebook readies for blockbuster IPO,CNN Wire,2/1/2012,661,"Editors: Republishes for Wednesday. NEW YORK (CNN) -- Facebook's long-awaited IPO filing could come as early as Wednesday, according to several news reports.",Facebook,Technology,1,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
