Headline,Source,Date,Word Count,Text,Company,Industry,IPO Period,Day of Week,Source Tier,Sentiment,List Price,Market Price,Difference,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A new hire at Twitter sparks fresh IPO rumors A new hire at Twitter sparks fresh IPO rumors TWITTER HIRE RESURRECTS RUMORS OF IPO; FEMALE EXEC REPORTEDLY HELPED PREPARE...,Contra Costa Times,8/8/2013,422,"SAN FRANCISCO -- Even as it denies it has plans to go public, Twitter has reportedly hired a stock administration analyst whose former job at Zynga was to help crank up an IPO for the social gaming site.",Twitter,Technology,1,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A new hire at Twitter sparks fresh IPO rumors,The Oakland Tribune,8/8/2013,420,,Twitter,Technology,1,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TWITTER HIRE RESURRECTS RUMORS OF IPO; FEMALE EXEC REPORTEDLY HELPED PREPARE...,San Jose Mercury News,8/9/2013,430,,Twitter,Technology,1,6,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Twitter prepares to fly IPO,Gannett News Service,8/11/2013,493,"Scott Martin, USA TODAY SAN FRANCISCO -- Twitter appears to be getting ready to issue stock to the public in the wake of social media companion Facebook's return to favor on Wall Street.",Twitter,Technology,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snapshot: Twitter prepares to fly IPO + Apple wins patent case against Samsung (Video),Orlando Business Journal Online,8/12/2013,112,Weather: Expect hot weather and sunny skies on Monday with temperatures near 94 degrees  (CF News 13) Today's talkers: Twitter prepares to fly IPO  (USA Today)   prepares to fly IPO,Twitter,Technology,1,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Twitter making moves toward IPO; Wall Street underwriters competing for role,New York Business Journal Online,8/21/2013,130,"The long-rumored Twitter IPO could come in the next few months,  The New York Post reported Wednesday . The San Francisco-based microblogging network has held talks with underwriters -- the Post speculates JP Morgan Chase (NYSE: JPM), ...",Twitter,Technology,1,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ain't she Tweet [Exclusive] Banks start courting Twitter to land rich IPO biz,New York Post,8/21/2013,552,"Wall Street IPO-tweet-stakes have begun. Banks already are lining up to score the plum assignment of leading Twitter's hotly anticipated public offering, The Post has learned.",Twitter,Technology,1,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
More talk of a Twitter IPO,Portland Business Journal Online,8/21/2013,96,"The long-rumored Twitter IPO could come in the next few months,  The New York Post reported Wednesday . The San Francisco-based microblogging network has held talks with underwriters -- the Post speculates JP Morgan Chase, Goldman Sachs,  ...",Twitter,Technology,1,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Twitter IPO rumors gain force, offering could come in months",Silicon Valley/San Jose Business Journal,8/21/2013,233,"The long-rumored Twitter IPO could come in the next few months,  The New York Post reported Wednesday . The San Francisco-based microblogging network has held talks with underwriters -- the Post speculates JP Morgan Chase, Goldman Sachs, ...",Twitter,Technology,1,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Twitter IPO rumors gain force, offering could come in months",Washington Business Journal Online,8/21/2013,132,"The long-rumored Twitter IPO could come in the next few months,  The New York Post reported Wednesday . The San Francisco-based microblogging network has held talks with underwriters -- the Post speculates JP Morgan Chase, Goldman Sachs,  ...",Twitter,Technology,1,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Twitter IPO: No truck with Zuck,New York Post,8/22/2013,368,"Twitter is unfollowing the Facebook IPO playbook. The initial public offering is still months away, but Job One for the popular social-networking service company is to avoid flopping like Mark Zuckerberg's Facebook.",Twitter,Technology,1,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New hire sets stage for Twitter IPO; Former Ticketmaster chief will lead online commerce and help build revenue.,Los Angeles Times,8/28/2013,965,"Twitter hired Ticketmaster's former chief executive to spearhead an ambitious push into online commerce, fueling speculation that the social network could move quickly toward an initial public offering -- as soon as early 2014.",Twitter,Technology,1,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"In advance of IPO, Twitter GC steps down",Inside Counsel,9/3/2013,359,"As Twitter moves closer to preparing for its initial public offering, the social media giant's top legal defender is stepping down after serving four years as the company's general counsel.",Twitter,Technology,1,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
