,Headline,Source,Date,Word Count,Company,neutral,weakneg,weakpos,strongpos,strongneg
0,*Docusign Files for IPO,Dow Jones Institutional News,3/28/2018,109,Docusign,0,0,0,0,0
1,*DocuSign Inc. IPO Offering 16M Shares at $24-$26 a Share,Dow Jones Institutional News,4/17/2018,27,Docusign,0,0,0,0,0
2,*DocuSign Now Sees 16M-Share IPO Pricing at $26-$28 A Share,Dow Jones Institutional News,4/25/2018,71,Docusign,0,0,0,0,0
3,*DocuSign Updates IPO Filing,Dow Jones Institutional News,4/3/2018,60,Docusign,0,0,0,0,0
4,*DropBox Inc. Files for IPO,Dow Jones Institutional News,2/23/2018,35,Dropbox,0,0,0,0,0
5,"*Dropbox IPO Prices at $21 a Share, Above Expected Range -- Source",Dow Jones Institutional News,3/22/2018,25,Dropbox,0,0,1,0,0
6,"*Dropbox Opens At $29, Above IPO Price of $21",Dow Jones Institutional News,3/23/2018,23,Dropbox,0,0,1,0,0
7,"*Dropbox Revises IPO Terms to 36M Class A Common Shares, $18-$20/Share",Dow Jones Institutional News,3/21/2018,53,Dropbox,0,0,0,0,0
8,"*Dropbox Sets IPO Terms at 36M Class A Common Shrs, $16-$18/Shr",Dow Jones Institutional News,3/12/2018,53,Dropbox,0,0,0,0,0
9,06:31 EDT Dropbox 36M share IPO price range raised to $18.00-$20.00Dropbox's IPO...,Theflyonthewall.com,3/21/2018,61,Dropbox,0,0,0,0,0
10,06:32 EDT Docusign IPO range raised to $26.00-$28.00 from...,Theflyonthewall.com,4/25/2018,67,Docusign,0,0,0,0,0
11,08:31 EDT JMP raises DocuSign target to $63 after 'great' first post-IPO report...,Theflyonthewall.com,6/8/2018,100,Docusign,0,0,2,0,0
12,"09:49 EDT Dropbox IPO bodes well, Barron's saysIn a follow-up article after...",Theflyonthewall.com,2/24/2018,96,Dropbox,0,0,0,1,0
13,10:43 EDT Dropbox IPO indicated to open at $27.50The company priced 36M shares...,Theflyonthewall.com,3/23/2018,52,Dropbox,0,0,0,0,0
14,10:46 EDT Dropbox IPO indicated to open at $28.00The company priced 36M shares...,Theflyonthewall.com,3/23/2018,53,Dropbox,0,0,0,0,0
15,"10:52 EDT Docusign indicated to open at $34.50, IPO priced at $29.00Docusign...",Theflyonthewall.com,4/27/2018,61,Docusign,0,0,0,0,0
16,"10:59 EDT Docusign indicated to open at $36.60, IPO priced at $29.00",Theflyonthewall.com,4/27/2018,30,Docusign,0,0,0,0,0
17,11:02 EDT Dropbox IPO indicated to open at $28.15The company priced 36M shares...,Theflyonthewall.com,3/23/2018,52,Dropbox,0,0,0,0,0
18,"11:07 EDT Docusign indicated to open at $37.00, IPO priced at $29.00",Theflyonthewall.com,4/27/2018,30,Docusign,0,0,0,0,0
19,11:08 EDT Dropbox IPO indicated to open at $28.50,Theflyonthewall.com,3/23/2018,21,Dropbox,0,0,0,0,0
20,11:21 EDT Dropbox IPO indicated to open at $28.00,Theflyonthewall.com,3/23/2018,21,Dropbox,0,0,0,0,0
21,"11:22 EDT Docusign indicated to open at $39.00, IPO priced at $29.00",Theflyonthewall.com,4/27/2018,30,Docusign,0,0,0,0,0
22,"11:29 EDT Docusign opens at $38.00, IPO priced at $29.00 per share",Theflyonthewall.com,4/27/2018,30,Docusign,0,0,0,0,0
23,"11:32 EDT Dropbox IPO seen pricing near $18, Bloomberg saysAs previously...",Theflyonthewall.com,3/20/2018,74,Dropbox,0,0,0,0,0
24,"11:36 EDT Dropbox opens for trade at $29, IPO priced at $21",Theflyonthewall.com,3/23/2018,25,Dropbox,0,0,0,0,0
25,"15:23 EDT Dropbox files for IPO, sees listing on Nasdaq with ticker...",Theflyonthewall.com,2/23/2018,97,Dropbox,0,0,0,0,0
26,"17:09 EDT Dropbox to price IPO at $21 per share, CNBC reportsDropbox has priced...",Theflyonthewall.com,3/22/2018,67,Dropbox,0,0,0,0,0
27,17:12 EDT Dropbox 36M share IPO priced at $21.00The deal priced above its...,Theflyonthewall.com,3/22/2018,48,Dropbox,0,0,1,1,0
28,19:09 EDT Docusign 21.7M share IPO priced at $29.00The deal priced above the...,Theflyonthewall.com,4/26/2018,50,Docusign,0,0,1,1,0
29,"After IPO, Dropbox Stock Gains More Than 35% -- MarketWatch",Dow Jones Institutional News,3/23/2018,212,Dropbox,0,0,0,1,0
30,"Ahead Of Dropbox IPO, DA Davidson Takes Bullish Position On Cloud Storage Company",Benzinga.com,3/21/2018,306,Dropbox,2,0,2,0,0
31,All Tech Eyes On Dropbox IPO As Its Target Valuation Disappoints,MediaPost.com,3/13/2018,779,Dropbox,0,0,0,0,2
32,Analysts Initiate Coverage Of DocuSign Following IPO Quiet Period,Benzinga.com,5/22/2018,436,Docusign,0,0,0,0,0
33,"Box CEO on Dropbox IPO: Weâre like Salesforce, theyâre like Netflix; Q&A: Aaron Levie says Dropbox is an âattractive business,â just nothing like his",MarketWatch,3/24/2018,1479,Dropbox,0,0,0,4,0
34,BREAKINGVIEWS-Dropbox IPO comes with too much vapor,Reuters News,3/12/2018,441,Dropbox,2,0,0,0,2
35,BRIEF-Docusign Inc Files For IPO Of Up To $100 Million,Reuters News,3/28/2018,120,Docusign,0,0,0,0,0
36,BRIEF-Docusign Inc Says Now Sees IPO Price Of Common Stock Will Be Between $26.00 And $28.00 Per Share,Reuters News,4/25/2018,88,Docusign,0,0,0,0,0
37,BRIEF-Docusign Inc Sees IPO Of 21.7 Million Shares Priced Between $24 And $26 Per Share - SEC Filing,Reuters News,4/17/2018,85,Docusign,0,0,0,0,0
38,BRIEF-Docusign Prices IPO Of 21.7 mln Common Shares Priced At $29 per Share,Reuters News,4/26/2018,50,Docusign,0,0,0,0,0
39,"BRIEF-Docusign Shares Open In Debut On The Nasdaq, About 31 Pct Above IPO Price",Reuters News,4/27/2018,46,Docusign,0,0,1,0,0
40,BRIEF-Dropbox Announces IPO Of 36 mln Shares Of Common Stock At $21 Per Shareâ,Reuters News,3/22/2018,64,Dropbox,0,0,0,0,0
41,BRIEF-Dropbox Inc Files For IPO Of Up To $500 Mln,Reuters News,2/23/2018,181,Dropbox,0,0,0,0,0
42,"BRIEF-Dropbox Prices IPO At $21 Per Share- CNBC, Citing Sourceââ",Reuters News,3/22/2018,39,Dropbox,0,0,0,0,0
43,BRIEF-Dropbox Prices IPO At $21/Share - Source Familiar With The Matter,Reuters News,3/22/2018,37,Dropbox,2,0,0,0,0
44,BRIEF-Dropbox Sees IPO Of Up To 36 Mln Shares Of Class A Common Stock,Reuters News,3/12/2018,173,Dropbox,0,0,0,0,0
45,BRIEF-Dropbox Shares Debut 38.1 Pct Above IPO Price,Reuters News,3/23/2018,34,Dropbox,0,0,0,0,0
46,"Broadcom, Hot Tech IPO DocuSign To Report: Investing Action Plan",Investor's Business Daily,6/6/2018,452,Docusign,0,0,0,2,0
47,"Broadcom, Hot Tech IPO DocuSign To Report: Investing Action Plan",Investor's Business Daily,6/6/2018,445,Docusign,0,0,0,2,0
48,"Closely Watched Dropbox IPO Sets Terms, Looks To Raise $612 Million",Investor's Business Daily,3/12/2018,474,Dropbox,2,0,0,0,0
49,"Closely Watched Dropbox IPO Sets Terms, Looks To Raise $612 Million",Investor's Business Daily,3/12/2018,474,Dropbox,2,0,0,0,0
50,Cloud storage company Dropbox files for IPO,Financial Times (FT.Com),2/23/2018,238,Dropbox,0,0,0,0,0
51,CORRECTED-Dropbox IPO oversubscribed - sources,Reuters News,3/19/2018,454,Dropbox,0,0,0,0,0
52,DocuSign 21.7M-Share IPO Prices at $29 Each,Dow Jones Newswires Chinese (English),4/26/2018,39,Docusign,0,0,0,0,0
53,"DocuSign aiming for IPO by early 2018, CEO says",Dow Jones Newswires Chinese (English),7/19/2017,730,Docusign,0,0,0,0,0
54,"DocuSign aiming for IPO by early 2018, CEO says; DocuSign is valued at $3 billion and has partnerships with major tech companies",MarketWatch,7/19/2017,678,Docusign,2,0,0,2,0
55,DocuSign chief on the IPO trail,The Australian,7/25/2017,892,Docusign,0,0,0,0,0
56,DocuSign expected to announce final IPO pricing; Advance Media Information; Future News Item; DocuSign Inc,Kantar Media - Forward Planner,4/27/2018,100,Docusign,0,0,0,0,0
57,DocuSign expected to announce final IPO pricing; AP Planner; Future News Item; DocuSign Inc,AP Planner,4/27/2018,87,Docusign,0,0,0,0,0
58,DocuSign Files for IPO,Dow Jones Institutional News,3/28/2018,411,Docusign,0,0,0,0,0
59,DocuSign Files for IPO,Dow Jones Institutional News,3/28/2018,1029,Docusign,0,0,0,0,0
60,Docusign files for IPO,German Collection,3/30/2018,117,Docusign,0,0,0,0,0
61,Docusign Files For IPO -- MarketWatch,Dow Jones Institutional News,3/28/2018,148,Docusign,0,0,0,0,0
62,DocuSign files for IPO - report,Telecompaper World,3/20/2018,74,Docusign,0,0,0,0,0
63,DocuSign Files for IPO; Electronic-signature provider has yet to turn a profit,The Wall Street Journal Online,3/28/2018,414,Docusign,0,2,1,0,0
64,Docusign Inc Says Now Sees IPO Price Of Common Stock Will Be Between $26.00 And $28.00 Per Share,Reuters Significant Developments,4/25/2018,69,Docusign,0,0,0,0,0
65,Docusign Inc Sees IPO Of 21.7 Million Shares Priced Between $24 And $26 Per Share - SEC Filing,Reuters Significant Developments,4/17/2018,66,Docusign,0,0,0,0,0
66,DocuSign Inc. (DOCU) Paused (quotes only) due to IPO released for quotation,Dow Jones Institutional News,4/27/2018,23,Docusign,0,0,0,0,0
67,DocuSign IPO Prices Above Range As Stock Jumps By Double-Digits,Investor's Business Daily,4/27/2018,320,Docusign,0,0,1,0,0
68,DocuSign IPO Prices Above Range As Stock Jumps By Double-Digits,Investor's Business Daily,4/27/2018,307,Docusign,0,0,1,0,0
69,DocuSign IPO Prices Above Range at $29,Dow Jones Institutional News,4/26/2018,419,Docusign,0,0,1,0,0
70,DocuSign IPO Prices Above Range at $29,Dow Jones Newswires Chinese (English),4/26/2018,37,Docusign,0,0,1,0,0
71,"DocuSign IPO: 5 things to know about the e-signature company; Losses are shrinking, but future Trump trade actions could affect the business",MarketWatch,4/29/2018,1303,Docusign,6,0,0,0,1
72,DocuSign Looks to Automate Contracts After IPO -- Market Talk,Dow Jones Institutional News,4/27/2018,1422,Docusign,2,0,0,0,0
73,DocuSign Looks to Automate Contracts After IPO -- Market Talk,Dow Jones Institutional News,4/27/2018,145,Docusign,2,0,0,0,0
74,DocuSign officially files for IPO,Telecompaper World,3/29/2018,304,Docusign,0,0,0,0,0
75,"DocuSign prices IPO at $29, higher than expected, to raise more than $600 million",Dow Jones Newswires Chinese (English),4/26/2018,200,Docusign,0,0,0,0,0
76,"DocuSign Prices IPO At $29, Higher Than Expected, To Raise More Than $600 Million -- MarketWatch",Dow Jones Institutional News,4/26/2018,207,Docusign,0,0,0,0,0
77,Docusign Prices IPO Of 21.7 mln Common Shares Priced At $29 per Share,Reuters Significant Developments,4/27/2018,59,Docusign,0,0,0,0,0
78,DocuSign raises IPO price range ahead of expected Thursday pricing,Dow Jones Newswires Chinese (English),4/25/2018,142,Docusign,0,0,0,0,0
79,DocuSign Raises IPO Price Range Ahead Of Expected Thursday Pricing -- MarketWatch,Dow Jones Institutional News,4/25/2018,149,Docusign,0,0,0,0,0
80,DocuSign Raises USD723.69 Million in Initial Public Offering (IPO),Financial Deals Tracker,5/4/2018,372,Docusign,0,0,0,0,0
81,Docusign sets IPO terms,PE Hub Network,4/18/2018,69,Docusign,0,0,0,0,0
82,"DocuSign Sets IPO Terms, With Expectations To Raise Up To $417.5 Million -- MarketWatch",Dow Jones Institutional News,4/17/2018,230,Docusign,2,0,0,0,0
83,DocuSign sets targets to raise up to $649M in upcoming IPO,Silicon Valley/San Jose Business Journal Online,4/17/2018,351,Docusign,0,0,0,0,0
84,"Docusign Shares Open In Debut On The Nasdaq, About 31 Pct Above IPO Price",Reuters Significant Developments,4/27/2018,43,Docusign,0,0,1,0,0
85,"DocuSign Shows Strong Demand, Closes Up 30%; Electronic-signature technology company IPO priced at $29 a share and closed above $39",The Wall Street Journal Online,4/27/2018,614,Docusign,2,0,3,0,0
86,DocuSign stock jumps after IPO,Dow Jones Newswires Chinese (English),4/27/2018,118,Docusign,0,0,0,0,0
87,DocuSign Stock Jumps After IPO -- MarketWatch,Dow Jones Institutional News,4/27/2018,125,Docusign,0,0,0,0,0
88,DocuSign stock soars after IPO as cloud fever continues; E-signature company worth more than $6 billion after 37% in first day of trading,MarketWatch,4/27/2018,559,Docusign,0,0,0,0,1
89,Dropbox aims at valuation of up to USD 8bn in launched IPO - insiders,German Collection,2/27/2018,141,Dropbox,0,0,0,0,0
90,Dropbox aims to raise up to $648 million in IPO,The Boston Globe,3/12/2018,364,Dropbox,0,0,0,0,0
91,Dropbox aims to raise up to $648 million in IPO,latimes.com,3/12/2018,337,Dropbox,0,0,0,0,0
92,Dropbox aims to raise up to $648m in IPO,The Boston Globe,3/13/2018,341,Dropbox,0,0,0,0,0
