,Headline,Source,Date,Word Count,Text,Company,Industry,IPO Period,Day of Week,Source Tier,neutral,weakneg,weakpos,strongpos,strongneg
0,How Advertising Powers China's IPO Darling Alibaba,Adweek,5/6/2014,511,Alibaba Group finally announced its long awaited public offering Tuesday  disclosing for the first time its financial statements that reveal the inner workings of this Chinese Internet hydra with tentacles in e-commerce  e-payments  social ...,Alibaba,Technology,1,3,2,6,0,0,0,0
1,Alibaba's IPO appears timed for mid-August,Albany Business Review Online,7/14/2014,640,,Alibaba,Technology,1,2,4,2,0,0,0,0
2,Alibaba sets IPO target at $60-$66  expects to raise up to $24B Alibaba sets IPO target at $60-$66  expects to raise up to $24B,Albany Business Review Online,9/8/2014,428,Chinese e-commerce giant Alibaba Group Holding set the stage for what could be the biggest IPO in history  setting price targets that would raise about $24 billion.,Alibaba,Technology,1,2,4,6,0,0,0,0
3,Alibaba hits IPO targets after meetings in New York and Boston  report says,Albany Business Review Online,9/10/2014,276,,Alibaba,Technology,1,4,4,0,0,0,0,0
4,Alibaba soars by about 40 percent after record IPO,Albany Business Review Online,9/19/2014,231,U.S. investors sent Alibaba Group Holding Ltd. shares soaring by around 40 percent Friday morning after its record $21.8 billion IPO. The stock opened at $92.60 after a more than two-hour delay and headed towards $100 around noon before ...,Alibaba,Technology,2,6,4,0,0,0,0,0
5,Alibaba's record-setting IPO could fuel even bigger stock rally,Albany Business Review Online,9/22/2014,157,The $25 billion that Chinese e-commerce company Alibaba Group Holding Ltd. raised in its initial public officering underscores financial markets' appetite for new listings  giving fresh fuel to the rally in stocks  the Wall Street Journal ...,Alibaba,Technology,2,2,4,2,0,2,4,0
6,Morning Scan: Alibaba's IPO Fees Windfall; Asian Hiring Probe Expands,American Banker,5/7/2014,490,Bigger than Facebook: It's all Alibaba  all the time. The Chinese e-commerce company released the prospectus for its U.S. IPO and the New York Times  Washington Post and Wall Street Journal all lavished heaps of coverage on the disclosure. ...,Alibaba,Technology,1,4,4,0,0,2,0,0
7,China's Alibaba files for U.S. IPO,Argus Leader,5/7/2014,415,Chinese e-commerce giant Alibaba on Tuesday filed its much-anticipated plans to sell shares in what could be one of the biggest initial public offerings ever.,Alibaba,Technology,1,4,4,4,0,0,0,0
8,Trade talk suggests Alibaba IPO could hit $150B,Argus Leader,8/28/2014,677,,Alibaba,Technology,1,5,4,2,0,2,0,0
9,For Yahoo  Alibaba IPO means shot at top again,Argus Leader,9/9/2014,438,,Alibaba,Technology,1,3,4,2,0,2,0,0
10,Alibaba's IPO debut roars,Argus Leader,9/20/2014,642,,Alibaba,Technology,2,7,4,0,0,0,0,0
11,Alibaba shares slip 4.3% after its huge IPO,Argus Leader,9/23/2014,302,,Alibaba,Technology,2,3,4,2,0,0,0,0
12,Trade talk suggests Alibaba IPO could hit $150B,Asbury Park Press,8/28/2014,677,,Alibaba,Technology,1,5,4,2,0,2,0,0
13,For Yahoo  Alibaba IPO means shot at top again,Asbury Park Press,9/9/2014,438,,Alibaba,Technology,1,3,4,2,0,2,0,0
14,Alibaba's IPO debut roars,Asbury Park Press,9/20/2014,642,,Alibaba,Technology,2,7,4,0,0,0,0,0
15,Alibaba's IPO debut roars Alibaba's IPO debut roars Alibaba's IPO debut roars Alibaba's IPO debut roars Alibaba's IPO debut roars Alibaba's IPO debut roars Alibaba's IPO debut roars Alibaba's IPO debut roars Alibaba's IPO debut roars Alibaba's IPO debut roars Alibaba's IPO debut roars Alibaba's IPO debut roars Alibaba's IPO debut roars Alibaba's IPO debut roars Alibaba's IPO debut roars Alibaba's IPO debut roars Alibaba's IPO debut roars Alibaba's IPO debut roars Alibaba's IPO debut roars Alibaba's IPO debut roars Alibaba's IPO debut roars Alibaba's IPO debut roars Alibaba's IPO debut roars Alibaba's IPO debut roars Alibaba's IPO debut roars Alibaba's IPO debut roars Alibaba's IPO debut roars Alibaba's IPO debut roars Alibaba's IPO debut roars Alibaba's IPO debut roars,Asbury Park Press,9/20/2014,642,Alibaba debuted Friday on the New York Stock Exchange  and the Chinese e-commerce giant somehow matched the months of hype leading up to its record-setting initial public offering.,Alibaba,Technology,2,7,4,2,0,0,2,0
16,Alibaba shares slip 4.3% after its huge IPO Alibaba shares slip 4.3% after its huge IPO Alibaba shares slip 4.3% after its huge IPO Alibaba shares slip 4.3% after its huge IPO Alibaba shares slip 4.3% after its huge IPO Alibaba shares slip 4.3% after its huge IPO Alibaba shares slip 4.3% after its huge IPO Alibaba shares slip 4.3% after its huge IPO Alibaba shares slip 4.3% after its huge IPO Alibaba shares slip 4.3% after its huge IPO Alibaba shares slip 4.3% after its huge IPO Alibaba shares slip 4.3% after its huge IPO Alibaba slips 4.3% after its huge IPO,Asbury Park Press,9/23/2014,302,Freshly minted shares of Alibaba dropped 4.3% Monday amid a broad sell-off and profit-taking following the Chinese e-commerce giant's 38% surge Friday.,Alibaba,Technology,2,3,4,28,0,3,0,0
17,ALIBABA AIMS FOR IPO RECORD $24.3 BILLION,Augusta Chronicle,9/6/2014,310,Alibaba Group Holding has set the price range for its initial public offering between $60 and $66 a share  and hopes to raise a record-shattering $24.3 billion in what would be the biggest IPO ever.,Alibaba,Technology,1,7,4,2,0,0,2,0
18,3 Reasons to Stay Away From Alibaba's IPO,Barron's,5/2/2014,1235,Editor's Note: Sundaram is a finance professor at the Tuck School of Business at Dartmouth College. He has no investment positions in any of the companies mentioned in this article or in Chinese IPOs.,Alibaba,Technology,1,6,1,2,0,0,1,0
19,Cash In on Alibaba IPO With Yahoo Options,Barron's,9/10/2014,597,For the average investor  getting a piece of Alibaba's initial public offering is as likely as winning the lottery. The underwriters of the Chinese e-commerce giant's (ticker: BABA) IPO will allocate shares to institutional customers who ...,Alibaba,Technology,1,4,1,4,0,0,0,0
20,Alibaba's IPO Will Speak Volumes,Barron's,9/12/2014,421,Alibaba Group Holding (BABA: NYSE) By Wedbush (Sept. 11  2014) We believe Alibaba Group Holding may offer one of the most compelling combinations of size  growth and profitability on a global basis.,Alibaba,Technology,1,6,1,3,0,2,0,0
