,Text,Label,Label180
0,Facebook wooed Madison Avenue on Wednesday with new ways for advertisers to connect with its 845 million users. The social network unveiled ads that will appear in the News Feed and even on the logout screen on the desktop and on mobile ...,Negative,Negative
1,"Facebook Inc. priced its shares in its initial public stock offering at $38 late Thursday, setting the stage for its historic market debut Friday.",Negative,Negative
2,NEW YORK -- Securities regulators are amping up their interest in Facebook's lackluster initial public offering. Morgan Stanley may have shared an analyst's negative reports with some institutional investors but not others ahead of the ...,Negative,Negative
3,"WASHINGTON -- A class-action lawsuit was filed Wednesday against Facebook Inc., Morgan Stanley & Co., and the other Wall Street banks that underwrote the Facebook's initial public offering, alleging they misled most shareholders about ...",Negative,Negative
4,The most anticipated IPO since Google is one step closer to happening. Facebook filed documents with the government late Wednesday laying out plans for its initial public stock offering. Here are some frequently asked questions and answers ...,Negative,Negative
5,Early investors stand to reap as much as $18.4 billion Associated Press NEW YORK - Facebook's initial public offering of stock is shaping up to be one of the largest ever. The world's definitive online social network is raising at least $16 ...,Negative,Negative
6,"Facebook reaches more than half the world's internet population outside of Asia, and the company itself expects user growth to slow thanks to the law of large numbers. So to fuel the growth expected of it as a public company, it will have ...",Negative,Negative
7,"With Facebook's initial public offering set to launch, the IPO market clearly looks set to get a big infusion of capital come spring. Considering the current weakness in U.S. IPOs, it will be a welcome boost.",Negative,Negative
10,"NEW YORK -- Facebook's initial public offering of stock is shaping up to be one of the largest ever. The world's definitive online social network is raising at least $16 billion, a big windfall for a company that began eight years ago with ...",Negative,Negative
12,Key developments in the eight years since Facebook Inc.'s creation: February 2004: Mark Zuckerberg starts Facebook as a sophomore at Harvard University.,Negative,Negative
14,"Facebook plans to make the year's most eagerly awaited market debut this month, an initial public offering that could value it at $86 billion.",Negative,Negative
15,"(This story has been posted on All Things Digital, a website owned by Dow Jones.) 
 
   By Kara Swisher 
   Of ALL THINGS DIGITAL Okay, okay, we get it: Morgan Stanley got the coveted left-hand lead position on Facebook's blockbuster ...",Negative,Negative
16,"(This story has been posted on All Things Digital, a website owned by Dow Jones.) 
 
   By Kara Swisher 
   Of ALL THINGS DIGITAL Ever heard of David Ebersman?",Negative,Negative
17,"(This story has been posted on All Things Digital, a website owned by Dow Jones.) 
 
    By Kara Swisher 
    Of ALL THINGS DIGITAL Like political junkies waiting up for election returns, Silicon Valley folks, including tech journalists, ...",Negative,Negative
