|Headline|Source|Date|Word Count|Company|Industry|IPO Period|Day of Week|Source Tier|PositiveScore|NegativeScore|Ticker|Close|High|Low|Open|Volume|Offer Date|Issuer|Offer Price|Open Price|1st Day Close|1st Day % Px Chng|$ Change Opening|$ Change Close|Mngr1|Mngr2|Mngr3|Mngr4|Mngr5|Mngr6|Offer Date +90|Date_y|Close +90|% Px Chng +90|Label
0|FACEBOOK ROLLS OUT NEW ADS TO WOO MADISON AVENUE BEFORE IPO|Aberdeen American News|2012-02-29|358|Facebook|Technology|1|4|4|0.0|0.0|FB||||||2012-05-18|Facebook |38|42.0|38.23|0.006052631578947286|4.0|0.2299999999999969|Morgan Stanley|J.P. Morgan|Goldman Sachs||||2012-08-16|2012-08-16|19.87|-0.4802511116923881|Negative
1|FACEBOOK PRICES ITS STOCK AT $38 A SHARE FOR IPO|Aberdeen American News|2012-05-17|515|Facebook|Technology|1|5|4|0.0|0.0|FB||||||2012-05-18|Facebook |38|42.0|38.23|0.006052631578947286|4.0|0.2299999999999969|Morgan Stanley|J.P. Morgan|Goldman Sachs||||2012-08-16|2012-08-16|19.87|-0.4802511116923881|Negative
2|REGULATORS LOOKING INTO MORGAN STANLEY ROLE IN FACEBOOK IPO|Aberdeen American News|2012-05-22|288|Facebook|Technology|2|3|4|0.0|0.0|FB|31.0|33.59|30.94|32.59|102053826.0|2012-05-18|Facebook |38|42.0|38.23|0.006052631578947286|4.0|0.2299999999999969|Morgan Stanley|J.P. Morgan|Goldman Sachs||||2012-08-16|2012-08-16|19.87|-0.4802511116923881|Negative
3|FACEBOOK, MORGAN STANLEY FACE CLASS-ACTION SUIT OVER IPO|Aberdeen American News|2012-05-23|583|Facebook|Technology|2|4|4|0.0|0.0|FB|32.0|32.5|31.36|31.38|73488656.0|2012-05-18|Facebook |38|42.0|38.23|0.006052631578947286|4.0|0.2299999999999969|Morgan Stanley|J.P. Morgan|Goldman Sachs||||2012-08-16|2012-08-16|19.87|-0.4802511116923881|Negative
4|FAQ: Facebook's IPO|Abilene Reporter-News|2012-02-03|947|Facebook|Technology|1|6|4|0.0|0.0|FB||||||2012-05-18|Facebook |38|42.0|38.23|0.006052631578947286|4.0|0.2299999999999969|Morgan Stanley|J.P. Morgan|Goldman Sachs||||2012-08-16|2012-08-16|19.87|-0.4802511116923881|Negative
5|Facebook IPO set to be global giant|Abilene Reporter-News|2012-05-18|188|Facebook|Technology|2|6|4|0.0|0.0|FB|38.2318|45.0|38.0|42.0|580587742.0|2012-05-18|Facebook |38|42.0|38.23|0.006052631578947286|4.0|0.2299999999999969|Morgan Stanley|J.P. Morgan|Goldman Sachs||||2012-08-16|2012-08-16|19.87|-0.4802511116923881|Negative
6|Mobile, local are key to Facebook's post-IPO growth; As audience increases slow, network taps new areas of advertising to boost revenue per user|Advertising Age|2012-02-06|874|Facebook|Technology|1|2|2|0.0|0.0|FB||||||2012-05-18|Facebook |38|42.0|38.23|0.006052631578947286|4.0|0.2299999999999969|Morgan Stanley|J.P. Morgan|Goldman Sachs||||2012-08-16|2012-08-16|19.87|-0.4802511116923881|Negative
7|Pre-Facebook U.S. IPO Market Off to a Sluggish Start in 2012|AdvisorOne|2012-02-13|426|Facebook|Technology|1|2|2|0.0|0.0|FB||||||2012-05-18|Facebook |38|42.0|38.23|0.006052631578947286|4.0|0.2299999999999969|Morgan Stanley|J.P. Morgan|Goldman Sachs||||2012-08-16|2012-08-16|19.87|-0.4802511116923881|Negative
8|Facebook CEO turns 28, IPO could be $100B gift|Aiken Standard|2012-05-14|1470|Facebook|Technology|1|2|4|0.0|0.0|FB||||||2012-05-18|Facebook |38|42.0|38.23|0.006052631578947286|4.0|0.2299999999999969|Morgan Stanley|J.P. Morgan|Goldman Sachs||||2012-08-16|2012-08-16|19.87|-0.4802511116923881|Negative
9|Facebook raises IPO price as offering nears|Aiken Standard|2012-05-16|753|Facebook|Technology|1|4|4|0.0|0.0|FB||||||2012-05-18|Facebook |38|42.0|38.23|0.006052631578947286|4.0|0.2299999999999969|Morgan Stanley|J.P. Morgan|Goldman Sachs||||2012-08-16|2012-08-16|19.87|-0.4802511116923881|Negative
10|Facebook's $16B IPO one of world's largest|Aiken Standard|2012-05-18|831|Facebook|Technology|2|6|4|0.0|0.0|FB|38.2318|45.0|38.0|42.0|580587742.0|2012-05-18|Facebook |38|42.0|38.23|0.006052631578947286|4.0|0.2299999999999969|Morgan Stanley|J.P. Morgan|Goldman Sachs||||2012-08-16|2012-08-16|19.87|-0.4802511116923881|Negative
11|Road to IPO: Milestones in Facebook's history|Aiken Standard|2012-05-18|875|Facebook|Technology|2|6|4|0.0|0.0|FB|38.2318|45.0|38.0|42.0|580587742.0|2012-05-18|Facebook |38|42.0|38.23|0.006052631578947286|4.0|0.2299999999999969|Morgan Stanley|J.P. Morgan|Goldman Sachs||||2012-08-16|2012-08-16|19.87|-0.4802511116923881|Negative
12|Road to IPO: Milestones in Facebook's history Road to IPO: Milestones in Facebook's history|Aiken Standard|2012-05-18|963|Facebook|Technology|2|6|4|0.0|0.0|FB|38.2318|45.0|38.0|42.0|580587742.0|2012-05-18|Facebook |38|42.0|38.23|0.006052631578947286|4.0|0.2299999999999969|Morgan Stanley|J.P. Morgan|Goldman Sachs||||2012-08-16|2012-08-16|19.87|-0.4802511116923881|Negative
13|Facebook hits new low as IPO lock-up ends|Aiken Standard|2012-08-17|727|Facebook|Technology|2|6|4|0.0|0.0|FB|19.05|20.08|19.0|20.0|129293342.0|2012-05-18|Facebook |38|42.0|38.23|0.006052631578947286|4.0|0.2299999999999969|Morgan Stanley|J.P. Morgan|Goldman Sachs||||2012-08-16|2012-08-16|19.87|-0.4802511116923881|Negative
14|FACEBOOK PREPARES FOR RECORD-HIGH IPO|Akron Beacon Journal|2012-05-04|104|Facebook|Technology|1|6|4|0.0|0.0|FB||||||2012-05-18|Facebook |38|42.0|38.23|0.006052631578947286|4.0|0.2299999999999969|Morgan Stanley|J.P. Morgan|Goldman Sachs||||2012-08-16|2012-08-16|19.87|-0.4802511116923881|Negative
15|Dude, Where's My Facebook IPO Filing?|All Things Digital|2012-02-01|589|Facebook|Technology|1|4|2|0.0|0.0|FB||||||2012-05-18|Facebook |38|42.0|38.23|0.006052631578947286|4.0|0.2299999999999969|Morgan Stanley|J.P. Morgan|Goldman Sachs||||2012-08-16|2012-08-16|19.87|-0.4802511116923881|Negative
16|Meet The Less-Known Face Of The Facebook IPO, CFO David Ebersman|All Things Digital|2012-02-01|852|Facebook|Technology|1|4|2|0.0|0.0|FB||||||2012-05-18|Facebook |38|42.0|38.23|0.006052631578947286|4.0|0.2299999999999969|Morgan Stanley|J.P. Morgan|Goldman Sachs||||2012-08-16|2012-08-16|19.87|-0.4802511116923881|Negative
17|Facebook IPO Filing May Be Later Wed At Earliest|All Things Digital|2012-02-01|257|Facebook|Technology|1|4|2|0.0|0.0|FB||||||2012-05-18|Facebook |38|42.0|38.23|0.006052631578947286|4.0|0.2299999999999969|Morgan Stanley|J.P. Morgan|Goldman Sachs||||2012-08-16|2012-08-16|19.87|-0.4802511116923881|Negative
18|Facebook IPO Filing Shows Details of Its Payments Business|American Banker|2012-02-03|192|Facebook|Technology|1|6|4|0.0|0.0|FB||||||2012-05-18|Facebook |38|42.0|38.23|0.006052631578947286|4.0|0.2299999999999969|Morgan Stanley|J.P. Morgan|Goldman Sachs||||2012-08-16|2012-08-16|19.87|-0.4802511116923881|Negative
19|facebook's FRIEND; HOW FENWICK & WEST LANDED THE WORLD'S MOST HIGH-PROFILE IPO.|American Lawyer|2012-06-01|3027|Facebook|Technology|2|6|4|0.0|0.0|FB|27.72|29.15|27.39|28.93|41855500.0|2012-05-18|Facebook |38|42.0|38.23|0.006052631578947286|4.0|0.2299999999999969|Morgan Stanley|J.P. Morgan|Goldman Sachs||||2012-08-16|2012-08-16|19.87|-0.4802511116923881|Negative
20|Facebook IPO; the work|American Lawyer|2012-07-01|761|Facebook|Technology|2|1|4|0.0|0.0|FB||||||2012-05-18|Facebook |38|42.0|38.23|0.006052631578947286|4.0|0.2299999999999969|Morgan Stanley|J.P. Morgan|Goldman Sachs||||2012-08-16|2012-08-16|19.87|-0.4802511116923881|Negative
21|Facebook IPO roadshow continues; AP Planner; Future News Item; Facebook|AP|2012-05-12|206|Facebook|Technology|1|7|1|0.0|0.0|FB||||||2012-05-18|Facebook |38|42.0|38.23|0.006052631578947286|4.0|0.2299999999999969|Morgan Stanley|J.P. Morgan|Goldman Sachs||||2012-08-16|2012-08-16|19.87|-0.4802511116923881|Negative
22|AP-CNBC Poll Examines Investor Sentiment Around The Upcoming Facebook IPO|AP|2012-05-15|991|Facebook|Technology|1|3|1|0.0|0.0|FB||||||2012-05-18|Facebook |38|42.0|38.23|0.006052631578947286|4.0|0.2299999999999969|Morgan Stanley|J.P. Morgan|Goldman Sachs||||2012-08-16|2012-08-16|19.87|-0.4802511116923881|Negative
23|Facebook IPO Roadshow reportedly continues; AP Planner; Future News Item; Facebook|AP|2012-05-16|218|Facebook|Technology|1|4|1|0.0|0.0|FB||||||2012-05-18|Facebook |38|42.0|38.23|0.006052631578947286|4.0|0.2299999999999969|Morgan Stanley|J.P. Morgan|Goldman Sachs||||2012-08-16|2012-08-16|19.87|-0.4802511116923881|Negative
24|1st anniversary of Facebook pricing its shares for IPO; AP Planner; Future News Item; Facebook|AP|2012-05-23|151|Facebook|Technology|2|4|1|0.0|0.0|FB|32.0|32.5|31.36|31.38|73488656.0|2012-05-18|Facebook |38|42.0|38.23|0.006052631578947286|4.0|0.2299999999999969|Morgan Stanley|J.P. Morgan|Goldman Sachs||||2012-08-16|2012-08-16|19.87|-0.4802511116923881|Negative
25|Facebook shares end troubled week of trading after losing more value from record IPO; AP Planner; Future News Item; Facebook|AP|2012-06-02|215|Facebook|Technology|2|7|1|0.0|0.0|FB||||||2012-05-18|Facebook |38|42.0|38.23|0.006052631578947286|4.0|0.2299999999999969|Morgan Stanley|J.P. Morgan|Goldman Sachs||||2012-08-16|2012-08-16|19.87|-0.4802511116923881|Negative
26|Facebook shares continue trading below IPO price as NASDAQ announces compensation; AP Planner; Future News Item; Facebook|AP|2012-06-07|231|Facebook|Technology|2|5|1|0.0|0.0|FB|26.31|27.35|26.15|27.0|26167757.0|2012-05-18|Facebook |38|42.0|38.23|0.006052631578947286|4.0|0.2299999999999969|Morgan Stanley|J.P. Morgan|Goldman Sachs||||2012-08-16|2012-08-16|19.87|-0.4802511116923881|Negative
27|Facebook shares end a week of trading at below IPO price; AP Planner; Future News Item; Facebook|AP|2012-06-09|219|Facebook|Technology|2|7|1|0.0|0.0|FB||||||2012-05-18|Facebook |38|42.0|38.23|0.006052631578947286|4.0|0.2299999999999969|Morgan Stanley|J.P. Morgan|Goldman Sachs||||2012-08-16|2012-08-16|19.87|-0.4802511116923881|Negative
28|Will Facebook deliver an IPO surprise?|Asbury Park Press|2012-02-01|1518|Facebook|Technology|1|4|4|0.0|0.0|FB||||||2012-05-18|Facebook |38|42.0|38.23|0.006052631578947286|4.0|0.2299999999999969|Morgan Stanley|J.P. Morgan|Goldman Sachs||||2012-08-16|2012-08-16|19.87|-0.4802511116923881|Negative
29|Will Facebook offer IPO surprise?|Asbury Park Press|2012-02-01|538|Facebook|Technology|1|4|4|0.0|0.0|FB||||||2012-05-18|Facebook |38|42.0|38.23|0.006052631578947286|4.0|0.2299999999999969|Morgan Stanley|J.P. Morgan|Goldman Sachs||||2012-08-16|2012-08-16|19.87|-0.4802511116923881|Negative
30|After IPO, Facebook will face pressures|Asbury Park Press|2012-02-03|910|Facebook|Technology|1|6|4|0.0|0.0|FB||||||2012-05-18|Facebook |38|42.0|38.23|0.006052631578947286|4.0|0.2299999999999969|Morgan Stanley|J.P. Morgan|Goldman Sachs||||2012-08-16|2012-08-16|19.87|-0.4802511116923881|Negative
31|Facebook valued at up to $95B in IPO price range Facebook valued at up to $95B in IPO price range|Asbury Park Press|2012-05-03|590|Facebook|Technology|1|5|4|0.0|0.0|FB||||||2012-05-18|Facebook |38|42.0|38.23|0.006052631578947286|4.0|0.2299999999999969|Morgan Stanley|J.P. Morgan|Goldman Sachs||||2012-08-16|2012-08-16|19.87|-0.4802511116923881|Negative
32|For most, Facebook IPO shares tough buy|Asbury Park Press|2012-05-15|398|Facebook|Technology|1|3|4|0.0|0.0|FB||||||2012-05-18|Facebook |38|42.0|38.23|0.006052631578947286|4.0|0.2299999999999969|Morgan Stanley|J.P. Morgan|Goldman Sachs||||2012-08-16|2012-08-16|19.87|-0.4802511116923881|Negative
33|internet; Facebook IPO ends private sales|Asbury Park Press|2012-05-17|743|Facebook|Technology|1|5|4|0.0|0.0|FB||||||2012-05-18|Facebook |38|42.0|38.23|0.006052631578947286|4.0|0.2299999999999969|Morgan Stanley|J.P. Morgan|Goldman Sachs||||2012-08-16|2012-08-16|19.87|-0.4802511116923881|Negative
34|Like, not love: Facebook IPO falls short of hype|Asbury Park Press|2012-05-19|259|Facebook|Technology|2|7|4|0.0|0.0|FB||||||2012-05-18|Facebook |38|42.0|38.23|0.006052631578947286|4.0|0.2299999999999969|Morgan Stanley|J.P. Morgan|Goldman Sachs||||2012-08-16|2012-08-16|19.87|-0.4802511116923881|Negative
35|2 panels to launch review of Facebook IPO|Asbury Park Press|2012-05-23|152|Facebook|Technology|2|4|4|0.0|0.0|FB|32.0|32.5|31.36|31.38|73488656.0|2012-05-18|Facebook |38|42.0|38.23|0.006052631578947286|4.0|0.2299999999999969|Morgan Stanley|J.P. Morgan|Goldman Sachs||||2012-08-16|2012-08-16|19.87|-0.4802511116923881|Negative
36|Facebook IPO frenzy cost small investors $630M|Asbury Park Press|2012-05-24|1273|Facebook|Technology|2|5|4|0.0|0.0|FB|33.03|33.21|31.77|32.98|50275879.0|2012-05-18|Facebook |38|42.0|38.23|0.006052631578947286|4.0|0.2299999999999969|Morgan Stanley|J.P. Morgan|Goldman Sachs||||2012-08-16|2012-08-16|19.87|-0.4802511116923881|Negative
37|The pop that wasn't: Life after Facebook's IPO|Asbury Park Press|2012-06-22|630|Facebook|Technology|2|6|4|0.0|0.0|FB|33.05|33.45|32.06|32.41|74833976.0|2012-05-18|Facebook |38|42.0|38.23|0.006052631578947286|4.0|0.2299999999999969|Morgan Stanley|J.P. Morgan|Goldman Sachs||||2012-08-16|2012-08-16|19.87|-0.4802511116923881|Negative
38|Facebook hits new low as IPO lock-up ends|Asbury Park Press|2012-08-16|1492|Facebook|Technology|2|5|4|0.0|0.0|FB|19.87|20.48|19.69|20.44|157554938.0|2012-05-18|Facebook |38|42.0|38.23|0.006052631578947286|4.0|0.2299999999999969|Morgan Stanley|J.P. Morgan|Goldman Sachs||||2012-08-16|2012-08-16|19.87|-0.4802511116923881|Negative
39|Facebook files for $5 billion IPO|Asheville Citizen-Times|2012-02-02|1672|Facebook|Technology|1|5|4|0.0|0.0|FB||||||2012-05-18|Facebook |38|42.0|38.23|0.006052631578947286|4.0|0.2299999999999969|Morgan Stanley|J.P. Morgan|Goldman Sachs||||2012-08-16|2012-08-16|19.87|-0.4802511116923881|Negative
40|Facebook surrenders its privacy in IPO documents|Asheville Citizen-Times|2012-02-03|989|Facebook|Technology|1|6|4|0.0|0.0|FB||||||2012-05-18|Facebook |38|42.0|38.23|0.006052631578947286|4.0|0.2299999999999969|Morgan Stanley|J.P. Morgan|Goldman Sachs||||2012-08-16|2012-08-16|19.87|-0.4802511116923881|Negative
41|Facebook valued at up to $95B in IPO price range|Athens Banner-Herald|2012-05-03|702|Facebook|Technology|1|5|4|0.0|0.0|FB||||||2012-05-18|Facebook |38|42.0|38.23|0.006052631578947286|4.0|0.2299999999999969|Morgan Stanley|J.P. Morgan|Goldman Sachs||||2012-08-16|2012-08-16|19.87|-0.4802511116923881|Negative
42|Facebook CEO turns 28, IPO could be $100B gift Facebook CEO turns 28, IPO could be $100 billion gift Facebook CEO turns 28, IPO could be his $100B gift Facebook CEO turns 28, IPO could be $100B gift|Athens Banner-Herald|2012-05-13|1538|Facebook|Technology|1|1|4|0.0|0.0|FB||||||2012-05-18|Facebook |38|42.0|38.23|0.006052631578947286|4.0|0.2299999999999969|Morgan Stanley|J.P. Morgan|Goldman Sachs||||2012-08-16|2012-08-16|19.87|-0.4802511116923881|Negative
43|Facebook IPO shares tough task for small investors|Athens Banner-Herald|2012-05-14|1269|Facebook|Technology|1|2|4|0.0|0.0|FB||||||2012-05-18|Facebook |38|42.0|38.23|0.006052631578947286|4.0|0.2299999999999969|Morgan Stanley|J.P. Morgan|Goldman Sachs||||2012-08-16|2012-08-16|19.87|-0.4802511116923881|Negative
44|Botched Facebook IPO and JPMorgan loss reinforce image that Wall Street can't get it right|Athens Banner-Herald|2012-05-23|1229|Facebook|Technology|2|4|4|0.0|0.0|FB|32.0|32.5|31.36|31.38|73488656.0|2012-05-18|Facebook |38|42.0|38.23|0.006052631578947286|4.0|0.2299999999999969|Morgan Stanley|J.P. Morgan|Goldman Sachs||||2012-08-16|2012-08-16|19.87|-0.4802511116923881|Negative
45|Regulators probe bank's role in Facebook IPO|Athens Banner-Herald|2012-05-23|941|Facebook|Technology|2|4|4|0.0|0.0|FB|32.0|32.5|31.36|31.38|73488656.0|2012-05-18|Facebook |38|42.0|38.23|0.006052631578947286|4.0|0.2299999999999969|Morgan Stanley|J.P. Morgan|Goldman Sachs||||2012-08-16|2012-08-16|19.87|-0.4802511116923881|Negative
46|Thomas: Facebook IPO no business of Congress|Athens Banner-Herald|2012-05-28|644|Facebook|Technology|2|2|4|0.0|0.0|FB|31.91|31.91|31.91|31.91|0.0|2012-05-18|Facebook |38|42.0|38.23|0.006052631578947286|4.0|0.2299999999999969|Morgan Stanley|J.P. Morgan|Goldman Sachs||||2012-08-16|2012-08-16|19.87|-0.4802511116923881|Negative
47|Facebook IPO is a math learning opportunity|Atlanta Business Chronicle Online|2012-05-18|384|Facebook|Technology|2|6|4|0.0|0.0|FB|38.2318|45.0|38.0|42.0|580587742.0|2012-05-18|Facebook |38|42.0|38.23|0.006052631578947286|4.0|0.2299999999999969|Morgan Stanley|J.P. Morgan|Goldman Sachs||||2012-08-16|2012-08-16|19.87|-0.4802511116923881|Negative
48|Facebook's ATL office rings in IPO with eggs and mimosas|Atlanta Business Chronicle Online|2012-05-18|410|Facebook|Technology|2|6|4|0.0|0.0|FB|38.2318|45.0|38.0|42.0|580587742.0|2012-05-18|Facebook |38|42.0|38.23|0.006052631578947286|4.0|0.2299999999999969|Morgan Stanley|J.P. Morgan|Goldman Sachs||||2012-08-16|2012-08-16|19.87|-0.4802511116923881|Negative
49|Facebook's IPO filing, by the numbers Facebook files for $5B IPO|Atlanta Business Chronicle Online|2012-02-02|502|Facebook|Technology|1|5|4|0.0|0.0|FB||||||2012-05-18|Facebook |38|42.0|38.23|0.006052631578947286|4.0|0.2299999999999969|Morgan Stanley|J.P. Morgan|Goldman Sachs||||2012-08-16|2012-08-16|19.87|-0.4802511116923881|Negative
50|My Favorite Statistics and Sentences From Facebook's Big IPO|Atlantic.com|2012-02-01|344|Facebook|Technology|1|4|1|0.0|0.0|FB||||||2012-05-18|Facebook |38|42.0|38.23|0.006052631578947286|4.0|0.2299999999999969|Morgan Stanley|J.P. Morgan|Goldman Sachs||||2012-08-16|2012-08-16|19.87|-0.4802511116923881|Negative
51|Facebook IPO Shows (Once Again) Tech Companies' Crazy Value Per Worker|Atlantic.com|2012-02-01|501|Facebook|Technology|1|4|1|0.0|0.0|FB||||||2012-05-18|Facebook |38|42.0|38.23|0.006052631578947286|4.0|0.2299999999999969|Morgan Stanley|J.P. Morgan|Goldman Sachs||||2012-08-16|2012-08-16|19.87|-0.4802511116923881|Negative
52|Facebook IPO May Be Worth $2.45 Billion to the State of California|Atlantic.com|2012-02-27|226|Facebook|Technology|1|2|1|0.0|0.0|FB||||||2012-05-18|Facebook |38|42.0|38.23|0.006052631578947286|4.0|0.2299999999999969|Morgan Stanley|J.P. Morgan|Goldman Sachs||||2012-08-16|2012-08-16|19.87|-0.4802511116923881|Negative
